Timestamp,How old are you? (Numbers only 17-25),Age_Range,What is your gender?,Please specify your ethnicity.,Which online dating platforms have you used?,Which online dating platforms are you currently active on?,"How many times have you met up with someone from an online dating platform? (Please provide a number or write ""not applicable"")","If you have met up with someone, did you stay connected and/or met up with them again?",Do you have a premium subscription of an online dating account?,"These apps usually require you to add at most five descriptors about you (ex: foodie, dogs, movies, dance, tennis). If you have a dating app, please list yours separated by commas. Else, write ""not applicable"".","What are some qualities/descriptor words that make someone else's profile stand out to you? (""not applicable"" otherwise)",What interest categories are the most important to you?,What vices of these would be turn-offs for you?,What vices of these would be turn-ons for you?,Are any of these traits important to you while looking at someone's profile?,"How many matches do you get per day? (Number or range of numbers only) (""not applicable"" otherwise)",How long do you spend on the app per day? (approx.),Reason,"Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [2nd]","Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [3rd]","Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [4th]","What personal 'red-flags' on someone else's profile would make you swipe left? (Ex. 'listens to drake', 'has too many selfies', 'is not religious')","In your opinion/experience, what is the biggest flaw with dating apps?","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [1st]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [2nd]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [3rd]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [4th]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [5th]","Please rank these six attributes of someone else's profile, 1 being the most important reason and 6 being the least important [6th]","In your opinion/experience, where have you found the most success in finding a relationship?",,,,,Age range,"Please rank all of the reasons that you have/use a dating app(s), 1 being the most important reason and 4 being the least important [1st]"
10/25/2021 20:51:42,20,20-21,Female,Caucasian,"Bumble, Hinge",None,0,Not applicable,No,Not applicable ,Not applicable ,"Food & drink, Traveling",Drugs,Not applicable,"Work / Job title, School / Education level, Religious beliefs, Politics, Age, Height",,Not applicable,Entertainment,To meet new people,For a relationship,For casual hookups,"Too many selfie’s, perceived personality ",Cat fishing ,Ambition,Interests,Intelligence,Fun,Sincerity,Attractiveness,Professional settings,,,,,20-21,Entertainment
10/25/2021 20:51:43,18,18-19,Female,Asian,"Tinder, Bumble, Hinge","Tinder, Bumble, Hinge",1,Yes,No,"Snowboarder, dog lover, music, foodie, baking",Not applicable ,"Sports, Going out, Music, Food & drink, Traveling, Pets, Values & traits","Smoking, Drugs","Drinking, Marijuana","Work / Job title, Politics, Age, Family plans, Covid vaccine",Not applicable ,Less than 1 hour,Entertainment,To meet new people,For a relationship,For casual hookups,"Mirror selfies, Snapchat filters, not a lot of pictures with face in it",Judge by appearance ,Fun,Sincerity,Ambition,Interests,Intelligence,Attractiveness,Mutual Friends,,,,,18-19,Entertainment
10/25/2021 20:52:06,22,22-23,Female,Asian,Tinder,None,1,Yes,No,not applicable (no longer on dating apps),"cat person, left leaning, college student, male, of Asian background","Film & TV, Reading, Music, Food & drink, Traveling, Pets, Values & traits",Republicans,Not applicable,"Work / Job title, School / Education level, Religious beliefs, Hometown, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Ethnicity, If they have children, Family plans, Covid vaccine",Not applicable ,Not applicable,Entertainment,To meet new people,For a relationship,For casual hookups,"extremely christian/catholic, right leaning, sexist, racist, fetishizing, anti-vax",there are too many creeps,Intelligence,Sincerity,Attractiveness,Interests,Ambition,Fun,Mutual Friends,,,,,22-23,Entertainment
10/25/2021 20:52:54,21,20-21,Female,"Caucasian, South Asian or Indian subcontinent","Tinder, Bumble, Hinge, Her","Tinder, Hinge",10,Yes,Yes,I forget,Not applicable,"Creativity, Staying in, Music, Food & drink, Traveling, Pets, Values & traits","Smoking, Drugs",Not applicable,"Work / Job title, School / Education level, Religious beliefs, Politics, Gender / Pronouns / Sexuality, Age, Height, Location, Covid vaccine",10,Less than 1 hour,Entertainment,For a relationship,For casual hookups,To meet new people,"Anything sexist, photos with a fish, gym selfies, conservative, is smoking in the picture, only one picture",People not actually messaging,Attractiveness,Fun,Interests,Ambition,Sincerity,Intelligence,Dating Apps,,,,,20-21,Entertainment
10/25/2021 20:53:46,21,20-21,Female,"Caucasian, Latino / Hispanic / Latinx / Latina, South Asian or Indian subcontinent",Tinder,Tinder,5,Yes,No,"Cooking, grab a drink, soccer","Cooking, traveling ","Music, Food & drink, Traveling, Values & traits",Not applicable,Drinking,"Work / Job title, School / Education level, Age, Covid vaccine",3,1 hour,Entertainment,For casual hookups,To meet new people,For a relationship,"Mirror selfies, filter selfies",Matching based on common interest instead of proximity ,Ambition,Sincerity,Attractiveness,Interests,Fun,Intelligence,Mutual Friends,,,,,20-21,Entertainment
10/25/2021 20:55:34,21,20-21,Female,"Caucasian, Asian","Tinder, Bumble, Hinge","Tinder, Bumble",0,Not applicable,No,"outdoors, music, cooking, baking, activism","outdoors, cooking","Food & drink, Traveling, Values & traits","Smoking, Marijuana, Drugs",Not applicable,"Work / Job title, School / Education level, Age, Height, Location, Covid vaccine",3,Less than 1 hour,For a relationship,Entertainment,To meet new people,For casual hookups,"marijuana use, super republican, low education level","too focused on looks, don't make good compatible suggestions, easy to swipe and match but hard to actually start a conversation ",Attractiveness,Ambition,Intelligence,Interests,Fun,Sincerity,Mutual Friends,,,,,20-21,For a relationship
10/25/2021 20:56:04,21,20-21,Female,Caucasian,Tinder,None,4,Yes,No,Not applicable,"In school or employed, athletic","Sports, Food & drink, Traveling, Values & traits",Drugs,Not applicable,"Work / Job title, School / Education level, Age, Height, Location",,Less than 1 hour,Entertainment,For casual hookups,For a relationship,To meet new people,Fish pictures or only shirtless pictures ,Location-based not values based ,Sincerity,Attractiveness,Ambition,Fun,Interests,Intelligence,Mutual Friends,,,,,20-21,Entertainment
10/25/2021 20:57:20,20,20-21,Female,Asian,"Tinder, Bumble, Hinge","Tinder, Bumble, Hinge",5,Yes,No,"shopping, food, music, running, traveling","generous, caring, outgoing","Going out, Food & drink, Traveling, Pets, Values & traits",Smoking,Drinking,"Work / Job title, School / Education level, Religious beliefs, Hometown, Gender / Pronouns / Sexuality, Age, Height, Ethnicity, Covid vaccine",10,Less than 1 hour,To meet new people,Entertainment,For casual hookups,For a relationship,"appearance, republican, short, immature ",catfishing,Intelligence,Ambition,Fun,Attractiveness,Sincerity,Interests,Mutual Friends,,,,,20-21,To meet new people
10/25/2021 20:57:40,22,22-23,Female,Caucasian,"Tinder, Bumble, Hinge",None,3,No,No,"Hiking, outdoors, running, farm animals, skiing","Skiing, outgoing, employed","Sports, Music, Pets, Values & traits","Smoking, Marijuana, Drugs",Not applicable,"Work / Job title, School / Education level, Hometown, Gender / Pronouns / Sexuality, Age, Height, Location, If they have children",Not applicable,Not applicable,For a relationship,Entertainment,For casual hookups,To meet new people,"Is super religious, talks about trump a lot",Idk,Attractiveness,Ambition,Interests,Intelligence,Fun,Sincerity,Mutual Friends,,,,,22-23,For a relationship
10/25/2021 20:58:12,19,18-19,Female,Asian,Tinder,None,0,Not applicable,No,Not applicable ,Not applicable ,"Staying in, Music, Food & drink, Traveling",Smoking,Marijuana,"Age, Height, Location, Covid vaccine",Not applicable ,Not applicable,Entertainment,For casual hookups,For a relationship,To meet new people,Weird pictures. Too old. Weird descriptions of themselves ,Who the algorithm or whatever matches you with or shows you would be a good match with ,Attractiveness,Sincerity,Interests,Intelligence,Fun,Ambition,Mutual Friends,,,,,18-19,Entertainment
